Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
233	8657.453	112.81397	8804.705	8539.346	0.05054722	0.009156006	0.07051263	0.037215464	9791.370303869247
234	8864.482	102.78426	9030.568	8754.118	0.051062513	0.0054253	0.06691821	0.04076374	9833.272754907608
235	8525.531	268.11063	8902.406	8147.034	0.057094716	0.010190515	0.08204047	0.03889546	9876.54871582985
236	8277.423	206.41118	8469.842	7963.3374	0.06538002	0.017164508	0.10434314	0.038888097	9915.707943677902
237	7906.6543	385.6214	8523.565	7460.6616	0.06584726	0.015039874	0.10256019	0.04489835	9955.977189779282
238	8464.582	115.574585	8589.643	8295.113	0.075109616	0.015492254	0.10318565	0.045086075	9999.350557565689
239	8478.648	124.65416	8649.259	8357.154	0.062150437	0.011141915	0.090997644	0.043305274	10042.878274917603
240	8770.419	108.04363	8918.061	8654.617	0.055031605	0.008056752	0.0731344	0.043859042	10086.366556406021
241	8698.993	158.04474	8957.758	8558.64	0.062012166	0.005796189	0.084287785	0.053199	10129.81045627594
242	8399.659	385.19455	8867.909	7817.52	0.06413378	0.011011968	0.10030062	0.046386972	10172.464886426926
243	8598.299	93.90478	8690.971	8445.875	0.061983038	0.008952977	0.09485541	0.049717404	10210.034556627274
244	8697.131	30.93664	8740.757	8666.696	0.060080573	0.0070644375	0.08244457	0.05048347	10246.833914756775
